weighting,ln_estimation,ln_spending_def,min_n_per_age,age_sq,age,ln_exp,ln_exp_se,ln_exp_pval,constant,r2_polynomial,r2_full,mean_change,n_households,n_observations,n_ages,age_range,smile_minimum_age
weighted,conditional,baseline,10,4.6175497294561315e-05,-0.008187435868547739,-0.05807197467731923,0.004609631425935394,7.804224295459492e-33,0.9531645692730951,0.13689182304470515,0.2041268576729388,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,conditional,baseline,20,4.6175497294561315e-05,-0.008187435868547739,-0.05807197467731923,0.004609631425935394,7.804224295459492e-33,0.9531645692730951,0.13689182304470515,0.2041268576729388,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,conditional,baseline,30,7.965306974005163e-05,-0.013234806737986384,-0.05634048149995527,0.004772900837331671,2.4337458573936142e-29,1.124339392118206,0.15420396847146933,0.1858840252530939,-0.009421942279291896,672,2511,24,62-85,83.07781973236105
weighted,conditional,mean,10,4.6175497294561315e-05,-0.008187435868547739,-0.0015608557540526158,0.006104465271020358,0.7982674770074439,0.3581466064057162,0.13689182304470515,0.017093159715187767,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,conditional,mean,20,4.6175497294561315e-05,-0.008187435868547739,-0.0015608557540526158,0.006104465271020358,0.7982674770074439,0.3581466064057162,0.13689182304470515,0.017093159715187767,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,conditional,mean,30,7.965306974005163e-05,-0.013234806737986384,-0.0017610773373926622,0.006275572166944104,0.7790855512196802,0.5495194055532449,0.15420396847146933,0.016181076966839236,-0.009421942279291896,672,2511,24,62-85,83.07781973236105
weighted,conditional,lagged,10,4.6175497294561315e-05,-0.008187435868547739,-0.026074902690659662,0.005853457261526421,9.835701721966367e-06,0.61449521992385,0.13689182304470515,0.0450708959820324,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,conditional,lagged,20,4.6175497294561315e-05,-0.008187435868547739,-0.026074902690659662,0.005853457261526421,9.835701721966367e-06,0.61449521992385,0.13689182304470515,0.0450708959820324,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,conditional,lagged,30,7.965306974005163e-05,-0.013234806737986384,-0.028187381098066663,0.006044024727309185,3.7524223251881775e-06,0.8259992165559011,0.15420396847146933,0.04709151914026066,-0.009421942279291896,672,2511,24,62-85,83.07781973236105
weighted,conditional,current,10,4.6175497294561315e-05,-0.008187435868547739,0.04790159546957816,0.0051496449873550815,1.8879985286305129e-19,-0.15178724927277815,0.13689182304470515,0.12868819389930053,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,conditional,current,20,4.6175497294561315e-05,-0.008187435868547739,0.04790159546957816,0.0051496449873550815,1.8879985286305129e-19,-0.15178724927277815,0.13689182304470515,0.12868819389930053,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,conditional,current,30,7.965306974005163e-05,-0.013234806737986384,0.049416284327530466,0.005315325365771925,2.0182967007537205e-19,0.021613955689692974,0.15420396847146933,0.12879160396302958,-0.009421942279291896,672,2511,24,62-85,83.07781973236105
weighted,unconditional,baseline,10,4.6175497294561315e-05,-0.008187435868547739,-0.05689784841322473,0.0046588014999960955,3.8365397431171003e-31,0.9408039907921641,0.13689182304470515,,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,unconditional,baseline,20,4.6175497294561315e-05,-0.008187435868547739,-0.05689784841322473,0.0046588014999960955,3.8365397431171003e-31,0.9408039907921641,0.13689182304470515,,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,unconditional,baseline,30,7.965306974005163e-05,-0.013234806737986384,-0.05506787819034374,0.0048139326727033045,8.375863406393351e-28,1.1109391466049094,0.15420396847146933,,-0.009421942279291896,672,2511,24,62-85,83.07781973236105
weighted,unconditional,mean,10,4.6175497294561315e-05,-0.008187435868547739,0.0016812148794025485,0.006062184297890341,0.7816127402752585,0.32422119078674677,0.13689182304470515,,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,unconditional,mean,20,4.6175497294561315e-05,-0.008187435868547739,0.0016812148794025485,0.006062184297890341,0.7816127402752585,0.32422119078674677,0.13689182304470515,,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,unconditional,mean,30,7.965306974005163e-05,-0.013234806737986384,0.0014771536015688105,0.006218319493582558,0.8123037774531328,0.515624379597839,0.15420396847146933,,-0.009421942279291896,672,2511,24,62-85,83.07781973236105
weighted,unconditional,lagged,10,4.6175497294561315e-05,-0.008187435868547739,-0.022835463231963546,0.005857452927539905,0.00010641285626615596,0.5806183717706437,0.13689182304470515,,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,unconditional,lagged,20,4.6175497294561315e-05,-0.008187435868547739,-0.022835463231963546,0.005857452927539905,0.00010641285626615596,0.5806183717706437,0.13689182304470515,,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,unconditional,lagged,30,7.965306974005163e-05,-0.013234806737986384,-0.024871078952580554,0.006035089130932956,4.2437606918473385e-05,0.791302077768664,0.15420396847146933,,-0.009421942279291896,672,2511,24,62-85,83.07781973236105
weighted,unconditional,current,10,4.6175497294561315e-05,-0.008187435868547739,0.049261673177046064,0.005121343344300768,1.288628813504746e-20,-0.16580213830864798,0.13689182304470515,,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,unconditional,current,20,4.6175497294561315e-05,-0.008187435868547739,0.049261673177046064,0.005121343344300768,1.288628813504746e-20,-0.16580213830864798,0.13689182304470515,,-0.009243627082139546,679,2554,26,60-85,88.65563283832873
weighted,unconditional,current,30,7.965306974005163e-05,-0.013234806737986384,0.05044546258987512,0.005270321104500112,1.9840332213195555e-20,0.011003333774503953,0.15420396847146933,,-0.009421942279291896,672,2511,24,62-85,83.07781973236105
unweighted,conditional,baseline,10,4.361366513735531e-06,-0.0014271336791093973,-0.05807197467731923,0.004609631425935394,7.804224295459492e-33,0.6834891420346747,0.051793176280378495,0.2041268576729388,-0.009243627082139546,679,2554,26,60-85,163.61084015925215
unweighted,conditional,baseline,20,4.361366513735531e-06,-0.0014271336791093973,-0.05807197467731923,0.004609631425935394,7.804224295459492e-33,0.6834891420346747,0.051793176280378495,0.2041268576729388,-0.009243627082139546,679,2554,26,60-85,163.61084015925215
unweighted,conditional,baseline,30,5.595930754147754e-05,-0.009157694844634474,-0.05634048149995527,0.004772900837331671,2.4337458573936142e-29,0.9531874886106492,0.07909374476888165,0.1858840252530939,-0.009421942279291896,672,2511,24,62-85,81.82459046555132
unweighted,conditional,mean,10,4.361366513735531e-06,-0.0014271336791093973,-0.0015608557540526158,0.006104465271020358,0.7982674770074439,0.08847117916729577,0.051793176280378495,0.017093159715187767,-0.009243627082139546,679,2554,26,60-85,163.61084015925215
unweighted,conditional,mean,20,4.361366513735531e-06,-0.0014271336791093973,-0.0015608557540526158,0.006104465271020358,0.7982674770074439,0.08847117916729577,0.051793176280378495,0.017093159715187767,-0.009243627082139546,679,2554,26,60-85,163.61084015925215
unweighted,conditional,mean,30,5.595930754147754e-05,-0.009157694844634474,-0.0017610773373926622,0.006275572166944104,0.7790855512196802,0.37836750204568814,0.07909374476888165,0.016181076966839236,-0.009421942279291896,672,2511,24,62-85,81.82459046555132
unweighted,conditional,lagged,10,4.361366513735531e-06,-0.0014271336791093973,-0.026074902690659662,0.005853457261526421,9.835701721966367e-06,0.3448197926854296,0.051793176280378495,0.0450708959820324,-0.009243627082139546,679,2554,26,60-85,163.61084015925215
unweighted,conditional,lagged,20,4.361366513735531e-06,-0.0014271336791093973,-0.026074902690659662,0.005853457261526421,9.835701721966367e-06,0.3448197926854296,0.051793176280378495,0.0450708959820324,-0.009243627082139546,679,2554,26,60-85,163.61084015925215
unweighted,conditional,lagged,30,5.595930754147754e-05,-0.009157694844634474,-0.028187381098066663,0.006044024727309185,3.7524223251881775e-06,0.6548473130483444,0.07909374476888165,0.04709151914026066,-0.009421942279291896,672,2511,24,62-85,81.82459046555132
unweighted,conditional,current,10,4.361366513735531e-06,-0.0014271336791093973,0.04790159546957816,0.0051496449873550815,1.8879985286305129e-19,-0.42146267651119856,0.051793176280378495,0.12868819389930053,-0.009243627082139546,679,2554,26,60-85,163.61084015925215
unweighted,conditional,current,20,4.361366513735531e-06,-0.0014271336791093973,0.04790159546957816,0.0051496449873550815,1.8879985286305129e-19,-0.42146267651119856,0.051793176280378495,0.12868819389930053,-0.009243627082139546,679,2554,26,60-85,163.61084015925215
unweighted,conditional,current,30,5.595930754147754e-05,-0.009157694844634474,0.049416284327530466,0.005315325365771925,2.0182967007537205e-19,-0.14953794781786378,0.07909374476888165,0.12879160396302958,-0.009421942279291896,672,2511,24,62-85,81.82459046555132
unweighted,unconditional,baseline,10,4.361366513735531e-06,-0.0014271336791093973,-0.05689784841322473,0.0046588014999960955,3.8365397431171003e-31,0.6711285635537437,0.051793176280378495,,-0.009243627082139546,679,2554,26,60-85,163.61084015925215
unweighted,unconditional,baseline,20,4.361366513735531e-06,-0.0014271336791093973,-0.05689784841322473,0.0046588014999960955,3.8365397431171003e-31,0.6711285635537437,0.051793176280378495,,-0.009243627082139546,679,2554,26,60-85,163.61084015925215
unweighted,unconditional,baseline,30,5.595930754147754e-05,-0.009157694844634474,-0.05506787819034374,0.0048139326727033045,8.375863406393351e-28,0.9397872430973525,0.07909374476888165,,-0.009421942279291896,672,2511,24,62-85,81.82459046555132
unweighted,unconditional,mean,10,4.361366513735531e-06,-0.0014271336791093973,0.0016812148794025485,0.006062184297890341,0.7816127402752585,0.054545763548326326,0.051793176280378495,,-0.009243627082139546,679,2554,26,60-85,163.61084015925215
unweighted,unconditional,mean,20,4.361366513735531e-06,-0.0014271336791093973,0.0016812148794025485,0.006062184297890341,0.7816127402752585,0.054545763548326326,0.051793176280378495,,-0.009243627082139546,679,2554,26,60-85,163.61084015925215
unweighted,unconditional,mean,30,5.595930754147754e-05,-0.009157694844634474,0.0014771536015688105,0.006218319493582558,0.8123037774531328,0.34447247609028225,0.07909374476888165,,-0.009421942279291896,672,2511,24,62-85,81.82459046555132
unweighted,unconditional,lagged,10,4.361366513735531e-06,-0.0014271336791093973,-0.022835463231963546,0.005857452927539905,0.00010641285626615596,0.3109429445322232,0.051793176280378495,,-0.009243627082139546,679,2554,26,60-85,163.61084015925215
unweighted,unconditional,lagged,20,4.361366513735531e-06,-0.0014271336791093973,-0.022835463231963546,0.005857452927539905,0.00010641285626615596,0.3109429445322232,0.051793176280378495,,-0.009243627082139546,679,2554,26,60-85,163.61084015925215
unweighted,unconditional,lagged,30,5.595930754147754e-05,-0.009157694844634474,-0.024871078952580554,0.006035089130932956,4.2437606918473385e-05,0.6201501742611072,0.07909374476888165,,-0.009421942279291896,672,2511,24,62-85,81.82459046555132
unweighted,unconditional,current,10,4.361366513735531e-06,-0.0014271336791093973,0.049261673177046064,0.005121343344300768,1.288628813504746e-20,-0.4354775655470684,0.051793176280378495,,-0.009243627082139546,679,2554,26,60-85,163.61084015925215
unweighted,unconditional,current,20,4.361366513735531e-06,-0.0014271336791093973,0.049261673177046064,0.005121343344300768,1.288628813504746e-20,-0.4354775655470684,0.051793176280378495,,-0.009243627082139546,679,2554,26,60-85,163.61084015925215
unweighted,unconditional,current,30,5.595930754147754e-05,-0.009157694844634474,0.05044546258987512,0.005270321104500112,1.9840332213195555e-20,-0.1601485697330528,0.07909374476888165,,-0.009421942279291896,672,2511,24,62-85,81.82459046555132
